rank,name,url,net cost,median earnings,location
1,Massachusetts Institute of Technology,https://www.niche.com/colleges/massachusetts-institute-of-technology/,20232,104700,"CAMBRIDGE, MA"
2,Yale University,https://www.niche.com/colleges/yale-university/,18647,83200,"NEW HAVEN, CT"
3,Stanford University,https://www.niche.com/colleges/stanford-university/,18279,94000,"STANFORD, CA"
4,Harvard University,https://www.niche.com/colleges/harvard-university/,19491,89700,"CAMBRIDGE, MA"
5,Dartmouth College,https://www.niche.com/colleges/dartmouth-college/,19208,75500,"HANOVER, NH"
6,Columbia University,https://www.niche.com/colleges/columbia-university/,22058,83300,"NEW YORK, NY"
7,Brown University,https://www.niche.com/colleges/brown-university/,26723,67500,"PROVIDENCE, RI"
8,Rice University,https://www.niche.com/colleges/rice-university/,19902,65400,"HOUSTON, TX"
9,Vanderbilt University,https://www.niche.com/colleges/vanderbilt-university/,25606,69000,"NASHVILLE, TN"
10,Princeton University,https://www.niche.com/colleges/princeton-university/,18698,74700,"PRINCETON, NJ"
11,University of Pennsylvania,https://www.niche.com/colleges/university-of-pennsylvania/,26123,85900,"PHILADELPHIA, PA"
12,Duke University,https://www.niche.com/colleges/duke-university/,23694,84400,"DURHAM, NC"
13,Georgetown University,https://www.niche.com/colleges/georgetown-university/,35566,93500,"WASHINGTON, DC"
14,Harvey Mudd College,https://www.niche.com/colleges/harvey-mudd-college/,39850,88800,"CLAREMONT, CA"
15,Washington University in St. Louis,https://www.niche.com/colleges/washington-university-in-st-louis/,23432,70100,"SAINT LOUIS, MO"
16,Pomona College,https://www.niche.com/colleges/pomona-college/,19962,58100,"CLAREMONT, CA"
17,Northwestern University,https://www.niche.com/colleges/northwestern-university/,22095,69000,"EVANSTON, IL"
18,Carnegie Mellon University,https://www.niche.com/colleges/carnegie-mellon-university/,33499,83600,"PITTSBURGH, PA"
19,California Institute of Technology,https://www.niche.com/colleges/california-institute-of-technology/,20755,85900,"PASADENA, CA"
20,University of California - Los Angeles,https://www.niche.com/colleges/university-of-california-los-angeles/,16999,60700,"LOS ANGELES, CA"
21,Cornell University,https://www.niche.com/colleges/cornell-university/,26060,77200,"ITHACA, NY"
22,Johns Hopkins University,https://www.niche.com/colleges/johns-hopkins-university/,24034,73200,"BALTIMORE, MD"
23,University of Michigan - Ann Arbor,https://www.niche.com/colleges/university-of-michigan-ann-arbor/,19318,63400,"ANN ARBOR, MI"
24,Claremont McKenna College,https://www.niche.com/colleges/claremont-mckenna-college/,28701,72900,"CLAREMONT, CA"
25,University of Chicago,https://www.niche.com/colleges/university-of-chicago/,36991,68100,"CHICAGO, IL"
