name,url,rank,net cost,aid,in-state tuition,out-state tuition,housing,meals,books,median earnings,location,address,student-faculty ratio,acceptance rate,application deadline,graduation rate,employed 2 years post graduation,full-time undergraduates,part-time undergrads,undergrads over 25,pell-grant recipients,varsity athletes,public/private,coordinates,<$30k,$30-48k,$49-75k,$76-110k,$110k+,tuition,undergrads
Massachusetts Institute of Technology,https://www.niche.com/colleges/massachusetts-institute-of-technology/,1,20232,45591,57986,57986,11980,6810,850,104700,"CAMBRIDGE, MA","77 MASSACHUSETTS AVE CAMBRIDGE, MA 02139",3:1,4,January 6,95,94,4601,56,1,18,16,Private,"[42.3591895, -71.0931647]",5347,0,1918,13035,44726,57986,4657
Yale University,https://www.niche.com/colleges/yale-university/,2,18647,63523,62250,62250,10500,7950,1000,83200,"NEW HAVEN, CT","133 WALL ST NEW HAVEN, CT 06511",2:1,5,January 2,98,92,6594,51,1,17,15,Private,"[41.3119, -72.9279911]",341,1751,5283,14152,45628,62250,6645
Stanford University,https://www.niche.com/colleges/stanford-university/,3,18279,60619,58416,58416,11682,6937,1350,94000,"STANFORD, CA","STANFORD, CA 94305",2:1,4,January 5,95,94,7761,288,1,19,11,Private,"[37.4379532, -122.1667524]",0,0,3637,7332,45276,58416,8049
Harvard University,https://www.niche.com/colleges/harvard-university/,4,19491,61801,57261,57261,12056,7446,900,89700,"CAMBRIDGE, MA","MASSACHUSETTS HALL CAMBRIDGE, MA 02138",4:1,3,January 1,98,89,7516,0,17,19,15,Private,"[42.3787331, -71.13126]",5900,3002,4180,17037,52634,57261,7516
Dartmouth College,https://www.niche.com/colleges/dartmouth-college/,5,19208,62293,62658,62658,10881,6693,1005,75500,"HANOVER, NH","207 PARKHURST HALL HANOVER, NH 03755",6:1,6,January 2,95,94,4457,1,0,16,21,Private,"[43.6445037, -72.2471371]",2438,4073,5903,17440,55770,62658,4458
Columbia University,https://www.niche.com/colleges/columbia-university/,6,22058,61061,66139,66139,9986,6300,1366,83300,"NEW YORK, NY","WEST 116 ST AND BROADWAY NEW YORK, NY 10027",2:1,4,January 1,95,89,8263,639,14,19,10,Private,"[40.8079812, -73.9637994]",6184,4569,8385,15114,45873,66139,8902
Brown University,https://www.niche.com/colleges/brown-university/,7,26723,55847,65146,65146,9368,6472,0,67500,"PROVIDENCE, RI","ONE PROSPECT ST PROVIDENCE, RI 02912",7:1,5,January 3,95,91,7189,450,1,14,13,Private,"[41.8262573, -71.4025578]",4741,1199,8394,20163,46032,65146,7639
Rice University,https://www.niche.com/colleges/rice-university/,8,19902,51955,57210,57210,10200,4800,1350,65400,"HOUSTON, TX","6100 S MAIN ST HOUSTON, TX 77005",5:1,9,January 4,94,92,4150,90,0,17,10,Private,"[29.7186254, -95.4092244]",5292,4126,6905,13245,43636,57210,4240
Vanderbilt University,https://www.niche.com/colleges/vanderbilt-university/,9,25606,53932,65008,65008,12720,7142,1194,69000,"NASHVILLE, TN","2101 WEST END AVE NASHVILLE, TN 37240",5:1,7,January 1,93,94,7082,69,0,19,5,Private,"[36.1497229, -86.8017751]",7451,4475,8892,16934,43288,65008,7151
Princeton University,https://www.niche.com/colleges/princeton-university/,10,18698,59792,57410,57410,10960,7670,1050,74700,"PRINCETON, NJ","1 NASSAU HALL PRINCETON, NJ 08544",5:1,6,January 1,97,87,5540,64,1,21,19,Private,"[40.3485121, -74.6619631]",2841,2370,6943,13557,36082,57410,5604
